id,movieinfo_id,actor_id
9867,1736,258
9868,1736,223
9869,1736,212
9870,1737,959
9871,1737,222
9872,1737,402
9873,1737,98
9874,1737,119
9875,1737,89
9876,1738,1752
9877,1738,520
9878,1738,72
9879,1738,522
9880,1738,1010
9881,1739,97
9882,1739,914
9883,1739,1670
9884,1739,586
9885,1739,520
9886,1739,1367
9887,1740,222
9888,1740,1146
9889,1740,502
9890,1740,66
9891,1740,368
9892,1740,140
9893,1741,222
9894,1741,38
9895,1741,348
9896,1741,258
9897,1741,807
9898,1741,313
9899,1742,222
9900,1742,308
9901,1742,927
9902,1742,147
9903,1742,823
9904,1742,156
9905,1743,376
9906,1743,305
9907,1743,348
9908,1743,381
9909,1743,72
9910,1743,76
9911,1744,2050
9912,1744,1503
9913,1744,2051
9914,1744,2052
9915,1745,28
9916,1745,5
9917,1745,471
9918,1745,316
9919,1745,80
9920,1745,2053
9921,1746,500
9922,1746,259
9923,1746,222
9924,1746,835
9925,1746,1226
9926,1746,2054
9927,1747,428
9928,1747,222
9929,1747,307
9930,1747,425
9931,1747,1048
9932,1747,1286
9933,1748,927
9934,1748,308
9935,1748,462
9936,1748,137
9937,1748,2055
9938,1748,1076
9939,1749,1062
9940,1749,520
9941,1749,856
9942,1749,667
9943,1749,219
9944,1749,510
9945,1750,244
9946,1750,2
9947,1750,486
9948,1750,683
9949,1750,100
9950,1750,1273
9951,1751,308
9952,1751,259
9953,1751,432
9954,1751,2056
9955,1751,370
9956,1751,2057
9957,1752,122
9958,1752,146
9959,1752,141
9960,1752,476
9961,1752,356
9962,1752,257
9963,1753,473
9964,1753,26
9965,1753,72
9966,1753,150
9967,1753,340
9968,1753,779
9969,1754,259
9970,1754,123
9971,1754,54
9972,1754,602
9973,1754,347
9974,1754,40
9975,1755,2058
9976,1755,462
9977,1755,367
9978,1755,85
9979,1755,461
9980,1755,208
9981,1756,508
9982,1756,43
9983,1756,1827
9984,1756,1171
9985,1756,2059
9986,1757,2060
9987,1757,392
9988,1757,487
9989,1757,519
9990,1757,2061
9991,1757,2062
9992,1758,970
9993,1758,2063
9994,1758,2064
9995,1758,972
9996,1758,2065
9997,1758,1474
9998,1759,222
9999,1759,223
10000,1759,320
10001,1759,607
10002,1759,708
10003,1759,1478
10004,1760,428
10005,1760,259
10006,1760,432
10007,1760,257
10008,1760,692
10009,1760,1654
10010,1761,203
10011,1761,212
10012,1761,312
10013,1761,440
10014,1761,251
10015,1761,1255
10016,1762,222
10017,1762,43
10018,1762,148
10019,1762,85
10020,1762,779
10021,1762,425
10022,1763,122
10023,1763,59
10024,1763,208
10025,1763,400
10026,1763,462
10027,1763,16
10028,1764,26
10029,1764,85
10030,1764,367
10031,1764,361
10032,1764,136
10033,1764,445
10034,1765,402
10035,1765,643
10036,1765,400
10037,1765,1053
10038,1765,351
10039,1765,586
10040,1766,222
10041,1766,803
10042,1766,72
10043,1766,208
10044,1766,960
10045,1766,76
10046,1767,258
10047,1767,212
10048,1767,141
10049,1767,1048
10050,1767,40
10051,1767,1286
10052,1768,308
10053,1768,38
10054,1768,122
10055,1768,289
10056,1768,251
10057,1768,88
10058,1769,356
10059,1769,1033
10060,1769,462
10061,1769,212
10062,1769,220
10063,1769,138
10064,1770,229
10065,1770,26
10066,1770,72
10067,1770,2066
10068,1770,1487
10069,1770,807
10070,1771,289
10071,1771,808
10072,1771,914
10073,1771,343
10074,1771,589
10075,1771,976
10076,1772,402
10077,1772,229
10078,1772,554
10079,1772,307
10080,1772,804
10081,1772,462
10082,1773,362
10083,1773,272
10084,1773,146
10085,1773,343
10086,1773,548
10087,1773,333
10088,1774,1201
10089,1774,356
10090,1774,2067
10091,1774,519
10092,1774,5
10093,1774,2068
10094,1775,1261
10095,1775,407
10096,1775,72
10097,1775,520
10098,1775,1000
10099,1775,637
10100,1776,866
10101,1776,127
10102,1776,124
10103,1776,240
10104,1776,2069
10105,1776,295
10106,1777,58
10107,1777,259
10108,1777,123
10109,1777,633
10110,1777,211
10111,1777,373
10112,1778,222
10113,1778,402
10114,1778,400
10115,1778,380
10116,1778,382
10117,1778,593
10118,1779,259
10119,1779,397
10120,1779,67
10121,1779,418
10122,1779,2070
10123,1779,523
10124,1780,300
10125,1780,187
10126,1780,27
10127,1780,371
10128,1780,393
10129,1780,128
10130,1781,2071
10131,1781,1940
10132,1781,832
10133,1781,137
10134,1781,1959
10135,1782,122
10136,1782,376
10137,1782,540
10138,1782,86
10139,1782,2072
10140,1782,158
10141,1783,923
10142,1783,361
10143,1783,660
10144,1783,2073
10145,1783,2074
10146,1783,2075
10147,1784,26
10148,1784,122
10149,1784,85
10150,1784,307
10151,1784,414
10152,1784,677
10153,1785,354
10154,1785,348
10155,1785,208
10156,1785,66
10157,1785,369
10158,1785,1055
10159,1786,222
10160,1786,414
10161,1786,383
10162,1786,307
10163,1786,293
10164,1786,725
10165,1787,428
10166,1787,307
10167,1787,311
10168,1787,156
10169,1787,41
10170,1787,170
10171,1788,540
10172,1788,118
10173,1788,86
10174,1788,224
10175,1788,398
10176,1788,2076
10177,1789,401
10178,1789,402
10179,1789,379
10180,1789,796
10181,1789,981
10182,1789,643
10183,1790,58
10184,1790,508
10185,1790,221
10186,1790,306
10187,1790,381
10188,1790,161
10189,1791,93
10190,1791,95
10191,1791,2077
10192,1791,381
10193,1791,1195
10194,1791,2078
10195,1792,154
10196,1792,493
10197,1792,44
10198,1792,65
10199,1792,2079
10200,1792,2080
10201,1793,428
10202,1793,122
10203,1793,259
10204,1793,1692
10205,1793,482
10206,1793,93
10207,1794,2032
10208,1794,487
10209,1794,316
10210,1794,2081
10211,1794,2082
10212,1794,2083
10213,1795,402
10214,1795,643
10215,1795,16
10216,1795,158
10217,1795,2084
10218,1795,2085
10219,1796,229
10220,1796,26
10221,1796,376
10222,1796,158
10223,1796,73
10224,1796,407
10225,1797,26
10226,1797,508
10227,1797,117
10228,1797,462
10229,1797,361
10230,1797,1733
10231,1798,222
10232,1798,26
10233,1798,311
10234,1798,2086
10235,1798,2087
10236,1798,144
10237,1799,212
10238,1799,264
10239,1799,258
10240,1799,661
10241,1799,137
10242,1799,220
10243,1800,520
10244,1800,217
10245,1800,637
10246,1800,400
10247,1800,2088
10248,1801,7
10249,1801,123
10250,1801,398
10251,1801,691
10252,1801,2089
10253,1801,1650
10254,1802,2090
10255,1802,2091
10256,1802,2031
10257,1802,2092
10258,1802,2093
10259,1802,1731
10260,1803,1702
10261,1803,2094
10262,1803,1783
10263,1803,2095
10264,1803,1089
10265,1803,1354
