id,name_eg,name_ar,actors_name_eg,actors_name_ar,genres_name_eg,genres_name_ar,poster_url,final_rating
34,fasel wa na oud,فاصل ونعود,"Karim Abdulaziz, Dina Fouad, Mohamed Lotfy, Ahmad Rateb, Mohamed Farrag","كريم عبدالعزيز, دينا فؤاد, محمد لطفي, أحمد راتب, محمد فراج","comedy, drama, Action","كوميديا, دراما, اكشن",https://i.egycdn.com/pic/WmFwZndlY21tbUVtbW12bXZtZWN2Y3h2TmJLeG1tdnc.jpg,3.7012410855
35,ibn alqonsol,ابن القنصل,"Ahmed El Sakka, Ghada Adel, Khaled Saleh, Sawsan Bader, Khaled Sarhan, Majdi Kamel","أحمد السقا, غادة عادل, خالد صالح, سوسن بدر, خالد سرحان, مجدي كامل","Familial, excitement, comedy, drama","عائلي, اثارة, كوميديا, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW1tdnRjRWNtb2NtYnhQbWJtam1n.jpg,3.700442582
36,teer enta,طير إنت,"Ahmed Mekky, Donia Samir Ghanem, Maged El Kedwany, Lotfy Labib, Hesham Ismail, Mohamed Sallam","أحمد مكي, دنيا سمير غانم, ماجد الكدواني, لطفي لبيب, هشام إسماعيل, محمد سلام","comedy, Fiction, Adventure","كوميديا, خيال, مغامرة",https://i.egycdn.com/pic/WmFwZndlY21tbWJtcG1tbW1iRWNjTllUdm1wcGJQ.jpg,3.695848614
37,abou aly,أبو علي,"Karim Abdulaziz, Mona Zaki, Talaat Zakareia, Khaled El Sawy, Entsar, Ahmed Fouad Selim","كريم عبدالعزيز, منى زكي, طلعت زكريا, خالد الصاوي, إنتصار, أحمد فؤاد سليم","romantic, Action, comedy","رومانسية, اكشن, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21tbUV2TllvY0VjbUVtYm12bW13VG9jbWo.jpg,3.6954342385
38,sawaa el autobees,سواق الأتوبيس,"Nour El Sherif, Emad Hamdy, Mervat Amin, Hassan Hosny, Waheid Seif, Nabila El Sayed","نور الشريف, عماد حمدي, ميرفت أمين, حسن حسني, وحيد سيف, نبيلة السيد","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUV2Y21ibUVtYkVjbXZtdm1id2Z3YXZjbWc.jpg,3.6897375735
39,ayam el sadat,أيام السادات,"Ahmed Zaki, Mervat Amin, Mona Zaki, Mokhles El Behiry, Youssef Fawzy, Esaad Younes","أحمد زكي, ميرفت أمين, منى زكي, مخلص البحيري, يوسف فوزي, إسعاد يونس","CV, History, drama","سيرة ذاتية, تاريخ, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbWJtcGptcEVFY3h2TnpQS3h4bUU.jpg,3.6752974625
40,yacoubian building,عمارة يعقوبيان,"Adel Imam, Nour El Sherif, Yousra, Khaled El Sawy, Hend Sabry, Somaya El Khashab","عادل إمام, نور الشريف, يسرا, خالد الصاوي, هند صبري, سمية الخشاب",drama,دراما,https://i.egycdn.com/pic/WmFwZndlY21MdGNtYm1IY21qRWNhbUV3TGNtR1VUdg.jpg,3.6707639635
41,el harreef,الحريف,"Adel Imam, Fardous Abdel Hamid, Abdallah Farghaly, Zizi Mostafa, Abdullah Mahmoud, Najah Al Muji","عادل إمام, فردوس عبدالحميد, عبدالله فرغلي, زيزي مصطفى, عبدالله محمود, نجاح الموجي","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW12bWptakVjbW1tYm1wVGJQbG16.jpg,3.668270698
42,el zawga el thania,الزوجة الثانية,"Soad Hosny, Shokry Sarhan, Sanaa Jamil, Salah Mansour, Soheir El Morshedi, Abdelmonem Ibrahim","سعاد حسني, شكري سرحان, سناء جميل, صلاح منصور, سهير المرشدي, عبدالمنعم إبراهيم","drama, excitement, old movie","دراما, اثارة, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbXZtbXZjbXZtbUVjUG1wam1qeG1Zam1q.jpg,3.6654847105
43,nour ainy,نور عيني,"Tamer Hosny, Menna Shalaby, Marwa Abdel Monem, Abir Sabri, Amr Youssef, Menna Fadaly","تامر حسني, منة شلبي, مروة عبدالمنعم, عبير صبري, عمرو يوسف, منة فضالي","romantic, drama","رومانسية, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbXZtWW1tcHVjbUV4bWJtamxtam1idmM.jpg,3.661798383
